transaction_id,transaction_date,amount,transaction_type,device_type,location,account_age_days,is_fraud
1,2023-04-13,71.87,Online,Mobile,Germany,1665,0
2,2023-12-15,431.19,Online,Mobile,Canada,1673,0
3,2023-09-28,209.97,POS,Mobile,Canada,1174,0
4,2023-04-17,319.61,Transfer,Mobile,USA,367,0
5,2023-03-13,68.27,Online,Web,Germany,1247,0
6,2023-07-08,1147.65,Online,Mobile,UK,659,1
7,2023-01-21,30.37,Transfer,Mobile,Canada,222,0
8,2023-04-13,653.7,Online,Mobile,India,1968,1
9,2023-05-02,464.76,POS,Web,USA,845,0
10,2023-08-03,160.55,Online,Mobile,Canada,1384,0
11,2023-11-27,176.04,Transfer,Web,USA,599,0
12,2023-03-29,298.37,POS,Mobile,India,1659,0
13,2023-04-10,73.28,Online,Mobile,USA,417,0
14,2023-12-26,149.93,Online,Web,Germany,1709,0
15,2023-06-01,465.33,Transfer,Mobile,Canada,1867,0
16,2023-05-11,14.14,Transfer,Web,UK,965,0
17,2023-05-30,471.89,Online,Mobile,Canada,97,0
18,2023-11-05,260.96,Online,Web,USA,1778,0
19,2023-09-15,293.8,Online,Mobile,Canada,769,0
20,2023-12-10,13.38,Online,Mobile,Germany,651,0
21,2023-10-21,41.59,Online,Mobile,USA,1478,0
22,2023-07-11,518.75,Transfer,Mobile,Germany,1696,0
23,2023-10-04,26.49,Online,Mobile,Canada,867,0
24,2023-06-10,199.49,Online,Mobile,Germany,1711,0
25,2023-11-10,305.29,Online,Mobile,Germany,1995,0
26,2023-01-22,52.61,POS,Mobile,India,1782,0
27,2023-09-10,239.99,POS,Mobile,Germany,130,0
28,2023-08-24,13.57,Online,Web,Germany,703,0
29,2023-12-11,138.14,Online,Web,India,1532,0
30,2023-02-18,81.42,Online,Web,India,988,0
31,2023-02-28,207.55,Online,Web,USA,1433,0
32,2023-06-19,439.65,Online,Mobile,UK,1778,0
33,2023-07-07,26.82,Transfer,Web,India,787,0
34,2023-09-28,119.68,Online,Web,UK,1228,0
35,2023-07-09,110.05,POS,Mobile,USA,1964,0
36,2023-06-24,78.25,Online,Mobile,UK,1159,0
37,2023-02-20,130.85,Transfer,Mobile,Canada,1281,0
38,2023-12-30,425.27,Transfer,Web,India,1544,0
39,2023-02-24,727.35,POS,Mobile,USA,448,0
40,2023-09-01,0.57,Online,Web,UK,1763,0
41,2023-11-16,268.67,Online,Web,UK,310,0
42,2023-05-11,190.94,Transfer,Mobile,UK,820,0
43,2023-11-03,1041.04,Transfer,Mobile,India,1587,0
44,2023-05-15,18.85,Transfer,Mobile,Germany,1047,0
45,2023-01-21,333.57,Online,Mobile,Germany,1162,0
46,2023-11-25,543.4,POS,Mobile,India,1238,0
47,2023-06-16,486.35,POS,Mobile,India,1415,0
48,2023-10-01,164.46,Online,Mobile,Canada,916,0
49,2023-03-30,79.37,Online,Mobile,USA,1753,0
50,2023-11-12,204.28,Online,Mobile,USA,14,1
51,2023-01-14,73.08,Transfer,Web,Canada,1832,0
52,2023-08-30,106.3,Online,Mobile,Germany,855,0
53,2023-09-22,118.02,Transfer,Web,India,1292,0
54,2023-12-12,71.89,Online,Mobile,USA,1110,0
55,2023-02-22,83.66,Online,Mobile,USA,1697,0
56,2023-12-06,1.47,Online,Web,USA,1812,0
57,2023-04-02,70.5,POS,Mobile,India,1290,0
58,2023-09-21,127.85,POS,Web,Germany,680,0
59,2023-02-04,37.99,Online,Mobile,USA,1705,0
60,2023-07-25,327.55,Transfer,Mobile,Germany,1028,0
61,2023-03-22,154.28,Transfer,Web,Germany,131,0
62,2023-02-19,315.86,Online,Web,UK,1807,0
63,2023-12-26,27.42,POS,Web,Germany,712,0
64,2023-01-02,343.53,Online,Mobile,Germany,1105,0
65,2023-02-23,635.27,Transfer,Mobile,Canada,1077,0
66,2023-04-16,86.91,Online,Mobile,USA,1842,0
67,2023-09-17,66.8,Transfer,Mobile,Canada,34,0
68,2023-11-06,208.16,Online,Mobile,Germany,39,1
69,2023-07-10,202.07,POS,Mobile,India,1586,0
70,2023-08-06,23.86,Transfer,Mobile,Germany,251,0
71,2023-02-13,522.8,POS,Mobile,India,917,0
72,2023-06-11,130.42,Online,Web,Germany,223,0
73,2023-07-21,289.14,POS,Mobile,USA,933,0
74,2023-09-27,89.04,Transfer,Mobile,Canada,1056,0
75,2023-12-17,60.64,Online,Web,India,1158,0
76,2023-10-31,23.59,Online,Mobile,Germany,1800,0
77,2023-09-28,64.18,Transfer,Mobile,India,50,0
78,2023-08-03,1005.08,POS,Mobile,Germany,884,0
79,2023-09-09,214.57,Online,Mobile,Germany,871,0
80,2023-07-09,324.69,Transfer,Mobile,India,1007,0
81,2023-10-23,636.46,Online,Mobile,USA,816,1
82,2023-08-01,16.46,Transfer,Mobile,India,1819,0
83,2023-07-27,35.99,POS,Mobile,UK,1147,0
84,2023-08-25,526.12,POS,Web,India,252,0
85,2023-12-04,166.28,Online,Mobile,Canada,1702,0
86,2023-02-22,201.49,POS,Mobile,India,1366,0
87,2023-10-07,111.6,Transfer,Web,UK,1091,0
88,2023-08-05,336.86,Transfer,Mobile,UK,1057,0
89,2023-09-09,145.65,Online,Web,Canada,169,0
90,2023-07-07,349.89,Online,Web,USA,1356,0
91,2023-02-10,970.38,Online,Web,Canada,1965,0
92,2023-06-06,208.1,Online,Web,India,1346,0
93,2023-01-15,150.5,Online,Web,India,772,0
94,2023-10-28,90.88,Online,Mobile,Germany,1751,0
95,2023-03-06,43.31,Transfer,Mobile,UK,817,0
96,2023-12-11,213.81,POS,Mobile,Germany,1668,0
97,2023-11-23,12.94,Online,Web,Canada,1210,0
98,2023-01-09,626.02,Transfer,Mobile,Canada,280,0
99,2023-12-10,208.57,POS,Mobile,UK,1283,0
100,2023-05-09,640.61,Online,Web,India,1579,0
101,2023-05-16,63.57,Online,Mobile,Germany,561,0
102,2023-03-04,585.67,Online,Mobile,Canada,936,1
103,2023-05-19,189.41,Transfer,Web,India,1196,0
104,2023-03-22,332.42,Online,Web,Germany,1802,0
105,2023-06-12,39.43,Online,Web,Canada,827,0
106,2023-10-16,138.67,POS,Web,USA,1597,0
107,2023-09-18,168.31,Online,Web,Canada,1833,0
108,2023-08-19,99.8,Online,Web,UK,630,0
109,2023-02-10,58.4,Online,Mobile,Germany,1600,0
110,2023-01-28,470.3,Transfer,Web,Germany,563,0
111,2023-05-15,17.78,POS,Mobile,India,1507,0
112,2023-07-20,33.44,POS,Mobile,Germany,793,0
113,2023-11-24,77.28,Online,Web,India,1288,0
114,2023-09-25,504.57,Transfer,Web,Canada,1126,0
115,2023-02-02,166.12,POS,Mobile,Germany,58,0
116,2023-02-17,93.42,Online,Mobile,India,63,1
117,2023-03-03,103.06,POS,Web,UK,1629,0
118,2023-08-04,363.76,Online,Web,UK,1153,0
119,2023-10-20,5.43,Online,Web,Germany,333,0
120,2023-04-09,2.28,POS,Mobile,Canada,705,0
121,2023-06-21,9.44,Online,Web,USA,1564,0
122,2023-12-26,126.68,POS,Mobile,Germany,1544,0
123,2023-08-02,174.1,POS,Mobile,USA,589,0
124,2023-02-04,195.88,POS,Mobile,India,905,0
125,2023-08-15,262.71,Online,Mobile,USA,44,1
126,2023-04-11,42.08,Online,Mobile,Canada,1798,0
127,2023-05-11,60.84,POS,Mobile,Germany,704,0
128,2023-09-14,55.81,Transfer,Web,UK,1407,0
129,2023-01-05,32.31,Online,Web,India,1906,0
130,2023-08-06,56.05,Online,Mobile,Canada,339,0
131,2023-09-12,190.2,Online,Mobile,Germany,1657,0
132,2023-12-25,91.27,POS,Web,Germany,1399,0
133,2023-10-10,292.13,Online,Mobile,USA,1856,0
134,2023-07-26,153.75,Online,Mobile,Canada,1206,0
135,2023-01-15,47.66,POS,Web,UK,1642,0
136,2023-12-12,125.99,POS,Mobile,India,790,0
137,2023-02-11,179.97,Online,Mobile,Germany,1744,0
138,2023-06-28,402.27,POS,Mobile,UK,463,0
139,2023-03-04,358.81,Transfer,Mobile,USA,1980,0
140,2023-12-18,111.19,Online,Web,UK,890,0
141,2023-08-19,208.64,POS,Web,USA,804,0
142,2023-08-29,70.71,Online,Mobile,India,782,0
143,2023-02-21,200.48,Online,Web,USA,741,0
144,2023-04-06,487.89,Online,Mobile,USA,101,0
145,2023-08-10,195.92,POS,Mobile,USA,412,0
146,2023-08-19,72.42,Online,Web,Germany,1862,0
147,2023-08-25,206.56,Transfer,Web,Canada,726,0
148,2023-05-23,466.1,POS,Mobile,India,1016,0
149,2023-06-20,29.48,Online,Mobile,USA,1428,0
150,2023-01-29,131.73,POS,Mobile,UK,1858,0
151,2023-02-05,77.44,Online,Mobile,Germany,406,0
152,2023-01-13,55.27,Online,Web,Canada,1556,0
153,2023-06-09,100.91,POS,Mobile,India,372,0
154,2023-11-23,100.16,Online,Web,Germany,261,0
155,2023-07-06,47.25,Online,Mobile,Germany,1144,0
156,2023-08-31,103.38,POS,Mobile,India,1349,0
157,2023-03-27,200.88,Online,Web,India,89,0
158,2023-10-11,5.21,Online,Web,USA,554,0
159,2023-03-07,906.11,POS,Web,India,403,0
160,2023-06-19,70.18,POS,Mobile,Canada,1957,0
161,2023-02-14,195.44,Transfer,Mobile,Canada,1696,0
162,2023-03-03,66.69,Online,Mobile,India,1714,0
163,2023-05-14,100.02,Online,Mobile,Canada,978,0
164,2023-10-11,159.36,POS,Mobile,UK,207,0
165,2023-01-28,189.27,Transfer,Mobile,Canada,256,0
166,2023-04-18,294.33,POS,Web,India,894,0
167,2023-02-13,313.74,POS,Mobile,UK,1786,0
168,2023-12-06,146.25,Online,Mobile,Canada,1693,0
169,2023-10-13,15.75,POS,Web,Germany,1608,0
170,2023-11-27,163.19,POS,Mobile,Germany,1258,0
171,2023-05-08,129.86,POS,Web,Germany,832,0
