transaction_id,transaction_date,amount,transaction_type,device_type,location,account_age_days,is_fraud,hours,day_of_week,month,amount_bucket,account_age_group
1,2023-04-13,71.87,Online,Mobile,Germany,1665,0,0,Thursday,April,Low,old
2,2023-12-15,431.19,Online,Mobile,Canada,1673,0,0,Friday,December,Medium,old
3,2023-09-28,209.97,POS,Mobile,Canada,1174,0,0,Thursday,September,Medium,old
4,2023-04-17,319.61,Transfer,Mobile,USA,367,0,0,Monday,April,Medium,Mature
5,2023-03-13,68.27,Online,Web,Germany,1247,0,0,Monday,March,Low,old
6,2023-07-08,1147.65,Online,Mobile,UK,659,1,0,Saturday,July,Very High,Mature
7,2023-01-21,30.37,Transfer,Mobile,Canada,222,0,0,Saturday,January,Low,Young
8,2023-04-13,653.7,Online,Mobile,India,1968,1,0,Thursday,April,High,old
9,2023-05-02,464.76,POS,Web,USA,845,0,0,Tuesday,May,Medium,Mature
10,2023-08-03,160.55,Online,Mobile,Canada,1384,0,0,Thursday,August,Medium,old
11,2023-11-27,176.04,Transfer,Web,USA,599,0,0,Monday,November,Medium,Mature
12,2023-03-29,298.37,POS,Mobile,India,1659,0,0,Wednesday,March,Medium,old
13,2023-04-10,73.28,Online,Mobile,USA,417,0,0,Monday,April,Low,Mature
14,2023-12-26,149.93,Online,Web,Germany,1709,0,0,Tuesday,December,Medium,old
15,2023-06-01,465.33,Transfer,Mobile,Canada,1867,0,0,Thursday,June,Medium,old
16,2023-05-11,14.14,Transfer,Web,UK,965,0,0,Thursday,May,Low,Mature
17,2023-05-30,471.89,Online,Mobile,Canada,97,0,0,Tuesday,May,Medium,Young
18,2023-11-05,260.96,Online,Web,USA,1778,0,0,Sunday,November,Medium,old
19,2023-09-15,293.8,Online,Mobile,Canada,769,0,0,Friday,September,Medium,Mature
20,2023-12-10,13.38,Online,Mobile,Germany,651,0,0,Sunday,December,Low,Mature
21,2023-10-21,41.59,Online,Mobile,USA,1478,0,0,Saturday,October,Low,old
22,2023-07-11,518.75,Transfer,Mobile,Germany,1696,0,0,Tuesday,July,High,old
23,2023-10-04,26.49,Online,Mobile,Canada,867,0,0,Wednesday,October,Low,Mature
24,2023-06-10,199.49,Online,Mobile,Germany,1711,0,0,Saturday,June,Medium,old
25,2023-11-10,305.29,Online,Mobile,Germany,1995,0,0,Friday,November,Medium,old
26,2023-01-22,52.61,POS,Mobile,India,1782,0,0,Sunday,January,Low,old
27,2023-09-10,239.99,POS,Mobile,Germany,130,0,0,Sunday,September,Medium,Young
28,2023-08-24,13.57,Online,Web,Germany,703,0,0,Thursday,August,Low,Mature
29,2023-12-11,138.14,Online,Web,India,1532,0,0,Monday,December,Medium,old
30,2023-02-18,81.42,Online,Web,India,988,0,0,Saturday,February,Low,Mature
31,2023-02-28,207.55,Online,Web,USA,1433,0,0,Tuesday,February,Medium,old
32,2023-06-19,439.65,Online,Mobile,UK,1778,0,0,Monday,June,Medium,old
33,2023-07-07,26.82,Transfer,Web,India,787,0,0,Friday,July,Low,Mature
34,2023-09-28,119.68,Online,Web,UK,1228,0,0,Thursday,September,Medium,old
35,2023-07-09,110.05,POS,Mobile,USA,1964,0,0,Sunday,July,Medium,old
36,2023-06-24,78.25,Online,Mobile,UK,1159,0,0,Saturday,June,Low,old
37,2023-02-20,130.85,Transfer,Mobile,Canada,1281,0,0,Monday,February,Medium,old
38,2023-12-30,425.27,Transfer,Web,India,1544,0,0,Saturday,December,Medium,old
39,2023-02-24,727.35,POS,Mobile,USA,448,0,0,Friday,February,High,Mature
40,2023-09-01,0.57,Online,Web,UK,1763,0,0,Friday,September,Low,old
41,2023-11-16,268.67,Online,Web,UK,310,0,0,Thursday,November,Medium,Young
42,2023-05-11,190.94,Transfer,Mobile,UK,820,0,0,Thursday,May,Medium,Mature
43,2023-11-03,1041.04,Transfer,Mobile,India,1587,0,0,Friday,November,Very High,old
44,2023-05-15,18.85,Transfer,Mobile,Germany,1047,0,0,Monday,May,Low,old
45,2023-01-21,333.57,Online,Mobile,Germany,1162,0,0,Saturday,January,Medium,old
46,2023-11-25,543.4,POS,Mobile,India,1238,0,0,Saturday,November,High,old
47,2023-06-16,486.35,POS,Mobile,India,1415,0,0,Friday,June,Medium,old
48,2023-10-01,164.46,Online,Mobile,Canada,916,0,0,Sunday,October,Medium,Mature
49,2023-03-30,79.37,Online,Mobile,USA,1753,0,0,Thursday,March,Low,old
50,2023-11-12,204.28,Online,Mobile,USA,14,1,0,Sunday,November,Medium,New
51,2023-01-14,73.08,Transfer,Web,Canada,1832,0,0,Saturday,January,Low,old
52,2023-08-30,106.3,Online,Mobile,Germany,855,0,0,Wednesday,August,Medium,Mature
53,2023-09-22,118.02,Transfer,Web,India,1292,0,0,Friday,September,Medium,old
54,2023-12-12,71.89,Online,Mobile,USA,1110,0,0,Tuesday,December,Low,old
55,2023-02-22,83.66,Online,Mobile,USA,1697,0,0,Wednesday,February,Low,old
56,2023-12-06,1.47,Online,Web,USA,1812,0,0,Wednesday,December,Low,old
57,2023-04-02,70.5,POS,Mobile,India,1290,0,0,Sunday,April,Low,old
58,2023-09-21,127.85,POS,Web,Germany,680,0,0,Thursday,September,Medium,Mature
59,2023-02-04,37.99,Online,Mobile,USA,1705,0,0,Saturday,February,Low,old
60,2023-07-25,327.55,Transfer,Mobile,Germany,1028,0,0,Tuesday,July,Medium,old
61,2023-03-22,154.28,Transfer,Web,Germany,131,0,0,Wednesday,March,Medium,Young
62,2023-02-19,315.86,Online,Web,UK,1807,0,0,Sunday,February,Medium,old
63,2023-12-26,27.42,POS,Web,Germany,712,0,0,Tuesday,December,Low,Mature
64,2023-01-02,343.53,Online,Mobile,Germany,1105,0,0,Monday,January,Medium,old
65,2023-02-23,635.27,Transfer,Mobile,Canada,1077,0,0,Thursday,February,High,old
66,2023-04-16,86.91,Online,Mobile,USA,1842,0,0,Sunday,April,Low,old
67,2023-09-17,66.8,Transfer,Mobile,Canada,34,0,0,Sunday,September,Low,New
68,2023-11-06,208.16,Online,Mobile,Germany,39,1,0,Monday,November,Medium,New
69,2023-07-10,202.07,POS,Mobile,India,1586,0,0,Monday,July,Medium,old
70,2023-08-06,23.86,Transfer,Mobile,Germany,251,0,0,Sunday,August,Low,Young
71,2023-02-13,522.8,POS,Mobile,India,917,0,0,Monday,February,High,Mature
72,2023-06-11,130.42,Online,Web,Germany,223,0,0,Sunday,June,Medium,Young
73,2023-07-21,289.14,POS,Mobile,USA,933,0,0,Friday,July,Medium,Mature
74,2023-09-27,89.04,Transfer,Mobile,Canada,1056,0,0,Wednesday,September,Low,old
75,2023-12-17,60.64,Online,Web,India,1158,0,0,Sunday,December,Low,old
76,2023-10-31,23.59,Online,Mobile,Germany,1800,0,0,Tuesday,October,Low,old
77,2023-09-28,64.18,Transfer,Mobile,India,50,0,0,Thursday,September,Low,New
78,2023-08-03,1005.08,POS,Mobile,Germany,884,0,0,Thursday,August,Very High,Mature
79,2023-09-09,214.57,Online,Mobile,Germany,871,0,0,Saturday,September,Medium,Mature
80,2023-07-09,324.69,Transfer,Mobile,India,1007,0,0,Sunday,July,Medium,old
81,2023-10-23,636.46,Online,Mobile,USA,816,1,0,Monday,October,High,Mature
82,2023-08-01,16.46,Transfer,Mobile,India,1819,0,0,Tuesday,August,Low,old
83,2023-07-27,35.99,POS,Mobile,UK,1147,0,0,Thursday,July,Low,old
84,2023-08-25,526.12,POS,Web,India,252,0,0,Friday,August,High,Young
85,2023-12-04,166.28,Online,Mobile,Canada,1702,0,0,Monday,December,Medium,old
86,2023-02-22,201.49,POS,Mobile,India,1366,0,0,Wednesday,February,Medium,old
87,2023-10-07,111.6,Transfer,Web,UK,1091,0,0,Saturday,October,Medium,old
88,2023-08-05,336.86,Transfer,Mobile,UK,1057,0,0,Saturday,August,Medium,old
89,2023-09-09,145.65,Online,Web,Canada,169,0,0,Saturday,September,Medium,Young
90,2023-07-07,349.89,Online,Web,USA,1356,0,0,Friday,July,Medium,old
91,2023-02-10,970.38,Online,Web,Canada,1965,0,0,Friday,February,High,old
92,2023-06-06,208.1,Online,Web,India,1346,0,0,Tuesday,June,Medium,old
93,2023-01-15,150.5,Online,Web,India,772,0,0,Sunday,January,Medium,Mature
94,2023-10-28,90.88,Online,Mobile,Germany,1751,0,0,Saturday,October,Low,old
95,2023-03-06,43.31,Transfer,Mobile,UK,817,0,0,Monday,March,Low,Mature
96,2023-12-11,213.81,POS,Mobile,Germany,1668,0,0,Monday,December,Medium,old
97,2023-11-23,12.94,Online,Web,Canada,1210,0,0,Thursday,November,Low,old
98,2023-01-09,626.02,Transfer,Mobile,Canada,280,0,0,Monday,January,High,Young
99,2023-12-10,208.57,POS,Mobile,UK,1283,0,0,Sunday,December,Medium,old
100,2023-05-09,640.61,Online,Web,India,1579,0,0,Tuesday,May,High,old
101,2023-05-16,63.57,Online,Mobile,Germany,561,0,0,Tuesday,May,Low,Mature
102,2023-03-04,585.67,Online,Mobile,Canada,936,1,0,Saturday,March,High,Mature
103,2023-05-19,189.41,Transfer,Web,India,1196,0,0,Friday,May,Medium,old
104,2023-03-22,332.42,Online,Web,Germany,1802,0,0,Wednesday,March,Medium,old
105,2023-06-12,39.43,Online,Web,Canada,827,0,0,Monday,June,Low,Mature
106,2023-10-16,138.67,POS,Web,USA,1597,0,0,Monday,October,Medium,old
107,2023-09-18,168.31,Online,Web,Canada,1833,0,0,Monday,September,Medium,old
108,2023-08-19,99.8,Online,Web,UK,630,0,0,Saturday,August,Low,Mature
109,2023-02-10,58.4,Online,Mobile,Germany,1600,0,0,Friday,February,Low,old
110,2023-01-28,470.3,Transfer,Web,Germany,563,0,0,Saturday,January,Medium,Mature
111,2023-05-15,17.78,POS,Mobile,India,1507,0,0,Monday,May,Low,old
112,2023-07-20,33.44,POS,Mobile,Germany,793,0,0,Thursday,July,Low,Mature
113,2023-11-24,77.28,Online,Web,India,1288,0,0,Friday,November,Low,old
114,2023-09-25,504.57,Transfer,Web,Canada,1126,0,0,Monday,September,High,old
115,2023-02-02,166.12,POS,Mobile,Germany,58,0,0,Thursday,February,Medium,New
116,2023-02-17,93.42,Online,Mobile,India,63,1,0,Friday,February,Low,New
117,2023-03-03,103.06,POS,Web,UK,1629,0,0,Friday,March,Medium,old
